    5456  35216
  0.9997420899909447         1         1
  0.0002579100090553         2         1
  0.9893437261201313         2         2
  0.0059365207141566         3         2
  0.0042985001509218         4         2
  0.0001719400060369         1         2
  0.0002493130087535         5         2
  0.9825566863875594         3         3
  0.0171940006036870         2         3
  0.0002493130087535         6         3
  0.9968850202239654         4         4
  0.0028656667672812         2         4
  0.0002493130087535         7         4
  0.9784978276200517         5         5
  0.0167910162145381         6         5
  0.0042985001509218         7         5
  0.0001719400060369         2         5
  0.0002407160084516         8         5
  0.9613038270163645         6         6
  0.0167910162145381         9         6
  0.0042985001509218        10         6
  0.0001719400060369         3         6
  0.0171940006036870         5         6
  0.0002407160084516        11         6
  0.9756321608527705         7         7
  0.0167910162145381        10         7
  0.0042985001509218        12         7
  0.0001719400060369         4         7
  0.0028656667672812         5         7
  0.0002407160084516        13         7
  0.9644503743435787         8         8
  0.0308470664913129        11         8
  0.0042985001509218        13         8
  0.0001719400060369         5         8
  0.0002321190081498        14         8
  0.9825652833878613         9         9
  0.0171940006036870         6         9
  0.0002407160084516        15         9
  0.9796996166205801        10        10
  0.0171940006036870         7        10
  0.0028656667672812         6        10
  0.0002407160084516        16        10
  0.9472563737398917        11        11
  0.0308470664913129        15        11
  0.0042985001509218        16        11
  0.0001719400060369         6        11
  0.0171940006036870         8        11
  0.0002321190081498        17        11
  0.9968936172242672        12        12
  0.0028656667672812         7        12
  0.0002407160084516        18        12
  0.9615847075762975        13        13
  0.0308470664913129        16        13
  0.0042985001509218        18        13
  0.0001719400060369         7        13
  0.0028656667672812         8        13
  0.0002321190081498        19        13
  0.9478138721219407        14        14
  0.0474921657132527        17        14
  0.0042985001509218        19        14
  0.0001719400060369         8        14
  0.0002235220078479        20        14
  0.9472563737398917        15        15
  0.0308470664913129        21        15
  0.0042985001509218        22        15
  0.0001719400060369         9        15
  0.0171940006036870        11        15
  0.0002321190081498        23        15
  0.9443907069726105        16        16
  0.0308470664913129        22        16
  0.0042985001509218        24        16
  0.0001719400060369        10        16
  0.0171940006036870        13        16
  0.0028656667672812        11        16
  0.0002321190081498        25        16
  0.9306198715182536        17        17
  0.0474921657132527        23        17
  0.0042985001509218        25        17
  0.0001719400060369        11        17
  0.0171940006036870        14        17
  0.0002235220078479        26        17
  0.9615847075762975        18        18
  0.0308470664913129        24        18
  0.0042985001509218        27        18
  0.0001719400060369        12        18
  0.0028656667672812        13        18
  0.0002321190081498        28        18
  0.9449482053546595        19        19
  0.0474921657132527        25        19
  0.0042985001509218        28        19
  0.0001719400060369        13        19
  0.0028656667672812        14        19
  0.0002235220078479        29        19
  0.9289423155020466        20        20
  0.0663723193334487        26        20
  0.0042985001509218        29        20
  0.0001719400060369        14        20
  0.0002149250075461        30        20
  0.9825738803881632        21        21
  0.0171940006036870        15        21
  0.0002321190081498        31        21
  0.9797082136208820        22        22
  0.0171940006036870        16        22
  0.0028656667672812        15        22
  0.0002321190081498        32        22
  0.9306198715182536        23        23
  0.0474921657132527        31        23
  0.0042985001509218        32        23
  0.0001719400060369        15        23
  0.0171940006036870        17        23
  0.0002235220078479        33        23
  0.9797082136208820        24        24
  0.0171940006036870        18        24
  0.0028656667672812        16        24
  0.0002321190081498        34        24
  0.9277542047509725        25        25
  0.0474921657132527        32        25
  0.0042985001509218        34        25
  0.0001719400060369        16        25
  0.0171940006036870        19        25
  0.0028656667672812        17        25
  0.0002235220078479        35        25
  0.9117483148983596        26        26
  0.0663723193334487        33        26
  0.0042985001509218        35        26
  0.0001719400060369        17        26
  0.0171940006036870        20        26
  0.0002149250075461        36        26
  0.9969022142245690        27        27
  0.0028656667672812        18        27
  0.0002321190081498        37        27
  0.9449482053546595        28        28
  0.0474921657132527        34        28
  0.0042985001509218        37        28
  0.0001719400060369        18        28
  0.0028656667672812        19        28
  0.0002235220078479        38        28
  0.9260766487347654        29        29
  0.0663723193334487        35        29
  0.0042985001509218        38        29
  0.0001719400060369        19        29
  0.0028656667672812        20        29
  0.0002149250075461        39        29
  0.9080745522529184        30        30
  0.0872486795828786        36        30
  0.0042985001509218        39        30
  0.0001719400060369        20        30
  0.0002063280072442        40        30
  0.9306198715182536        31        31
  0.0474921657132527        41        31
  0.0042985001509218        42        31
  0.0001719400060369        21        31
  0.0171940006036870        23        31
  0.0002235220078479        43        31
  0.9277542047509725        32        32
  0.0474921657132527        42        32
  0.0042985001509218        44        32
  0.0001719400060369        22        32
  0.0171940006036870        25        32
  0.0028656667672812        23        32
  0.0002235220078479        45        32
  0.9117483148983596        33        33
  0.0663723193334487        43        33
  0.0042985001509218        45        33
  0.0001719400060369        23        33
  0.0171940006036870        26        33
  0.0002149250075461        46        33
  0.9277542047509725        34        34
  0.0474921657132527        44        34
  0.0042985001509218        47        34
  0.0001719400060369        24        34
  0.0171940006036870        28        34
  0.0028656667672812        25        34
  0.0002235220078479        48        34
  0.9088826481310783        35        35
  0.0663723193334487        45        35
  0.0042985001509218        48        35
  0.0001719400060369        25        35
  0.0171940006036870        29        35
  0.0028656667672812        26        35
  0.0002149250075461        49        35
  0.8908805516492314        36        36
  0.0872486795828786        46        36
  0.0042985001509218        49        36
  0.0001719400060369        26        36
  0.0171940006036870        30        36
  0.0002063280072442        50        36
  0.9449482053546595        37        37
  0.0474921657132527        47        37
  0.0042985001509218        51        37
  0.0001719400060369        27        37
  0.0028656667672812        28        37
  0.0002235220078479        52        37
  0.9260766487347654        38        38
  0.0663723193334487        48        38
  0.0042985001509218        52        38
